name,rating
Lukas Nmecha,6.62
Nathan Aké,6.61
Tim Iroegbunam,6.61
Ibrahima Konaté,6.60
Joe Rodon,6.60
Carlos Alcaraz,6.59
Bryan Mbeumo,6.57
Diogo Dalot,6.57
Ethan Nwaneri,6.57
Georginio Rutter,6.56
Caoimhin Kelleher,6.56
Hjalmar Ekdal,6.56
Ollie Watkins,6.55
Wilfried Gnonto,6.55
Enzo Le Fee,6.54
Phil Foden,6.52
Kyle Walker,6.51
Kevin Schade,6.50
Bernardo Silva,6.49
Noni Madueke,6.49
Daniel James,6.49
Brenden Aaronson,6.47
Cristhian Mosquera,6.47
Mason Mount,6.47
Jamie Gittens,6.46
Myles Lewis-Skelly,6.46
Bart Verbruggen,6.45
Hugo Bueno,6.45
John McGinn,6.44
Jordan Henderson,6.44
Wilson Isidor,6.44
Kai Havertz,6.43
Adam Smith,6.42
Jota Silva,6.42
Morgan Rogers,6.42
Gabriel Gudmundsson,6.41
Matheus Cunha,6.41
Anthony Gordon,6.40
Malo Gusto,6.40
Sepp van den Berg,6.39
Liam Delap,6.39
Habib Diarra,6.38
Andrey Santos,6.37
Omar Marmoush,6.37
Curtis Jones,6.35
Loum Tchaouna,6.35
Ryan Christie,6.35
David Møller Wolfe,6.34
Jean-Philippe Mateta,6.34
Lesley Ugochukwu,6.34
Antoni Milambo,6.33
Patrick Roberts,6.33
Kyle Walker-Peters,6.31
Jérémy Doku,6.31
Jacob Bruun Larsen,6.30
Jhon Arias,6.30
Sasa Lukic,6.30
Simon Adingra,6.30
Josh Laurent,6.30
Will Hughes,6.29
Ao Tanaka,6.29
Benjamin Sesko,6.28
Jefferson Lerma,6.28
Jack Harrison,6.27
Rico Henry,6.27
Jake O'Brien,6.26
Jacob Murphy,6.25
Joseph Gomez,6.24
Mathias Jensen,6.23
Dominic Solanke,6.23
Matheus Nunes,6.21
Tomas Soucek,6.21
Ki-Jana Hoever,6.21
Ismaila Sarr,6.19
Frank Onyeka,6.18
Guido Rodriguez,6.17
Fabio Carvalho,6.14
Matt Doherty,6.14
Andrew Robertson,6.13
Danny Welbeck,6.13
Donyell Malen,6.13
Leandro Trossard,6.13
Igor Jesus,6.12
Kaoru Mitoma,6.09
Wesley Fofana,6.09
Callum Wilson,6.08
Beto,6.04
Evann Guessand,6.04
Tom Cairney,6.04
Jack Grealish,6.02
Joel Piroe,6.02
Justin Kluivert,6.00
Fer Lopez,5.99
Freddie Potts,5.99
Jorrel Hato,5.98
Jørgen Strand Larsen,5.96
Oliver Sonne,5.93
Ferdi Kadioglu,5.91
Rodrigo Gomes,5.91
Sander Berge,5.91
Jean-Clair Todibo,5.91
Altay Bayindir,5.90
Marc Guiu,5.90
Lucas Perri,5.88
Noah Okafor,5.86
Emmanuel Agbadou,5.86
Emile Smith Rowe,5.85
Adama Traoré,5.84
Harry Maguire,5.83
Lamare Bogarde,5.81
Sean Longstaff,5.81
José Sá,5.79
Nico O'Reilly,5.79
Emiliano Buendia,5.76
Ezri Konsa,5.62
Raul Jiménez,5.59
Jean-Ricner Bellegarde,5.57
Max Kilman,5.53
Nayef Aguerd,5.53
Niclas Füllkrug,5.43
Toti Gomes,5.40
Mads Hermansen,5.06
